date,time_bin,direction,total_flow,ped,pcl
2023-09-01,06:05,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,06:05,Southern Shared Path Westbound,20.0,3.0,17.0
2023-09-01,06:10,All directions,38.0,4.0,34.0
2023-09-01,06:10,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:10,Northern Shared Path Westbound,20.0,2.0,18.0
2023-09-01,06:10,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:10,Southern Shared Path Westbound,18.0,2.0,16.0
2023-09-01,06:15,All directions,24.0,3.0,21.0
2023-09-01,06:15,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,06:15,Northern Shared Path Westbound,11.0,0.0,11.0
2023-09-01,06:15,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:15,Southern Shared Path Westbound,12.0,2.0,10.0
2023-09-01,06:20,All directions,17.0,6.0,11.0
2023-09-01,06:20,Northern Shared Path Eastbound,2.0,1.0,1.0
2023-09-01,06:20,Northern Shared Path Westbound,9.0,5.0,4.0
2023-09-01,06:20,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,06:20,Southern Shared Path Westbound,6.0,0.0,6.0
2023-09-01,06:25,All directions,33.0,9.0,24.0
2023-09-01,06:25,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,06:25,Northern Shared Path Westbound,13.0,6.0,7.0
2023-09-01,06:25,Southern Shared Path Eastbound,6.0,1.0,5.0
2023-09-01,06:25,Southern Shared Path Westbound,13.0,1.0,12.0
2023-09-01,06:30,All directions,31.0,4.0,27.0
2023-09-01,06:30,Northern Shared Path Eastbound,2.0,1.0,1.0
2023-09-01,06:30,Northern Shared Path Westbound,7.0,0.0,7.0
2023-09-01,06:30,Southern Shared Path Eastbound,5.0,0.0,5.0
2023-09-01,06:30,Southern Shared Path Westbound,17.0,3.0,14.0
2023-09-01,06:35,All directions,48.0,2.0,46.0
2023-09-01,06:35,Northern Shared Path Eastbound,5.0,0.0,5.0
2023-09-01,06:35,Northern Shared Path Westbound,12.0,0.0,12.0
2023-09-01,06:35,Southern Shared Path Eastbound,5.0,2.0,3.0
2023-09-01,06:35,Southern Shared Path Westbound,26.0,0.0,26.0
